COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,Africa,"4.83409475158328",Medium-High,"0.0","6.527745884001241","0.690479135814572","7.975993918826305","7.802297689517255","0.0"
Denmark,Denmark,DNK,Europe,"3.311195717141394",Low-Medium,"3.120677315514755","0.0","0.0","8.970065133871456","1.515546618829651","0.0"
Djibouti,Djibouti,DJI,Africa,"6.041829664549148",High,"0.0","8.391966665942615","7.185061994773386","8.369887173154044","6.413999069216887","0.0"
Dominican Republic,Dominican Republic,DOM,North America,"5.086260591851647",Medium-High,"0.0","0.0","0.0","8.909794744559644","3.764274710499529","8.955242178594657"
Ecuador,Ecuador,ECU,South America,"4.665217299555387",Medium-High,"5.52944331591239","6.434729182016836","4.678955007030929","5.216633511442103","4.587838416771838","0.0"
Egypt,Egypt,EGY,Africa,"6.389891862302354",High,"3.67985501658871","8.775188780426426","8.040223674117442","3.762342143086211","8.566810597057202","0.0"
El Salvador,El Salvador,SLV,North America,"6.12921131778147",High,"0.0","4.73905626780486","8.914384005937952","8.822452541177588","7.24549854790396","0.0"
Equatorial Guinea,Equatorial Guinea,GNQ,Africa,"3.137020781173896",Low-Medium,"0.0","3.253838790254519","0.0","8.031907949155999","3.364633233483903","0.0"
Eritrea,Eritrea,ERI,Africa,"5.062266664588209",Medium-High,"0.0","4.687658212110615","8.002063503204855","8.32866295447833","3.971138943549783","0.0"
Estonia,Estonia,EST,Europe,"3.062819921314281",Low-Medium,"0.0","1.077800638877104","2.661448131481613","8.668787957665701","0.478979615486619","0.0"
Ethiopia,Ethiopia,ETH,Africa,"4.54967829333869",Medium-High,"0.0","4.168334135979197","3.840168036927456","8.91658835329703","5.276484214136809","0.0"
Fiji,Fiji,FJI,Oceania,"6.673865126342888",High,"8.392471659847278","8.349514735958062","0.0","8.086406290544135","0.0","8.388590150092828"
Finland,Finland,FIN,Europe,"3.843714841516521",Medium-High,"0.0","7.601370614623092","0.0","8.357084827023078","0.0","0.0"
France,France,FRA,Europe,"6.297207528108412",High,"5.794978057887652","4.423917882665036","6.857411450335785","9.988125859573984","4.515633576356911","0.0"
Gabon,Gabon,GAB,Africa,"4.405738244735582",Medium-High,"0.0","7.537668570860709","0.0","8.499193247697654","4.011757543046515","0.0"
Gambia,Gambia,GMB,Africa,"5.574635040764503",High,"5.972517493492476","3.891191568388345","1.066176792138","8.558179252374634","8.386653113175003","0.0"
Georgia,Georgia,GEO,Asia,"4.535967269650006",Medium-High,"0.0","6.594146730065471","0.0","9.152691135105192","4.452148431540777","0.0"
